date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2015/08/28,20489963,5121796139,243.00,253.00,241.00,253.00,+23.00,9570
2015/08/31,13381514,3358357542,255.00,256.00,246.50,251.00,-2.00,7624
2015/09/01,10406623,2541951135,248.50,249.50,239.50,245.00,-6.00,6192
2015/09/02,8966297,2176464968,242.50,245.00,240.50,243.00,-2.00,5008
2015/09/03,6755326,1641376118,243.00,248.00,241.00,242.00,-1.00,4633
2015/09/04,13928105,3450510048,242.00,254.00,242.00,242.00, 0.00,8980
2015/09/07,7497966,1840429908,242.00,248.50,242.00,246.50,+4.50,5283
2015/09/08,11808638,3009269328,250.00,257.50,250.00,255.00,+8.50,8711
2015/09/09,15644735,4255223800,261.00,280.50,260.00,280.00,+25.00,11268
2015/09/10,10371092,2840822392,274.50,277.00,270.00,273.00,-7.00,7384
2015/09/11,10357332,2886527028,273.00,283.50,273.00,277.00,+4.00,7471
2015/09/14,5042318,1399556234,282.50,283.00,275.00,277.00, 0.00,3970
2015/09/15,4329078,1178624596,276.00,277.00,270.00,271.00,-6.00,3494
2015/09/16,6426799,1765168823,275.50,276.50,272.00,276.00,+5.00,4504
2015/09/17,6720925,1881263650,281.50,283.50,277.00,277.00,+1.00,4965
2015/09/18,5514798,1537179642,280.00,280.50,277.00,278.50,+1.50,3684
2015/09/21,13096456,3506898796,275.00,275.00,262.50,263.50,-15.00,9312
2015/09/22,12145422,3148766564,260.00,262.50,256.00,260.00,-3.50,7703
2015/09/23,14261855,3578781815,255.00,255.50,248.00,251.00,-9.00,8516
2015/09/24,20323620,4915378800,251.00,253.00,236.00,236.00,-15.00,12593
2015/09/25,11640205,2764987200,234.50,241.00,233.50,237.00,+1.00,7998
2015/09/30,16386458,3889454710,231.00,245.50,230.50,243.50,+6.50,9020
2015/10/01,10800977,2705994204,248.00,253.00,246.50,250.50,+7.00,7818
2015/10/02,7736508,1931774235,250.50,252.00,247.50,249.50,-1.00,5198
2015/10/05,11319640,2771232160,249.50,250.00,242.00,243.00,-6.50,7525
2015/10/06,12375836,3043808656,247.00,249.00,244.00,245.00,+2.00,5985
2015/10/07,15636566,3969055594,247.50,258.00,246.00,258.00,+13.00,10071
2015/10/08,16739464,4436862960,264.50,268.00,262.00,265.50,+7.50,10574
2015/10/12,10061416,2684278602,269.00,271.50,264.00,266.50,+1.00,6538
2015/10/13,15217218,4179188886,270.00,277.50,267.50,277.00,+10.50,10412
2015/10/14,7257410,1985471430,277.00,277.00,271.50,272.50,-4.50,5414
2015/10/15,7426243,2039975068,274.50,277.00,271.50,276.00,+3.50,4852
2015/10/16,8221562,2258209612,276.50,276.50,272.00,276.00, 0.00,4085
