date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2017/8/30,34362407,4011509298,116,117.5,116,117.5,2,14398
2017/8/31,34282963,4039750816,118.5,119,117,117.5,0,11621
2017/9/1,17581242,2063796740,117,118,117,117.5,0,8092
2017/9/4,19131350,2232915631,116.5,117.5,116,116.5,-1,7573
2017/9/5,28540905,3314380760,116.5,117,115.5,116.5,0,8921
2017/9/6,30304494,3508485304,116,116.5,115,115.5,-1,10124
2017/9/7,25406406,2931630694,115.5,116.5,115,115.5,0,11091
2017/9/8,39679811,4635824887,116,117.5,115.5,117,1.5,15449
2017/9/11,21045026,2452053016,117.5,118,115.5,116,-1,10014
2017/9/12,19715193,2297617623,117,117.5,116,117,1,9041
2017/9/13,24576175,2851864300,116.5,117.5,115.5,115.5,-1.5,12567
2017/9/14,31054202,3563543230,115.5,115.5,114,114.5,-1,14148
2017/9/15,53127603,6093815955,114,115,114,115,0.5,14097
2017/9/18,46673735,5321846933,114,115,113,114,-1,18225
2017/9/19,98361169,10956198259,113.5,114,110,110,-4,50449
2017/9/20,98939857,10663297859,109,110,106.5,106.5,-3.5,44127
2017/9/21,105628622,11532548812,105.5,112,105,111,4.5,42820
2017/9/22,58633937,6370532986,109,110,108,108,-3,25367
2017/9/25,71182450,7516424351,107,107,105,105,-3,29286
2017/9/26,72853067,7619053596,104,106,103,103.5,-1.5,31085
2017/9/27,37848557,3977834087,105,105.5,104.5,105,1.5,14878
2017/9/28,36877259,3872097235,106,106,104,104.5,-0.5,11298
2017/9/29,35552446,3720368822,104.5,105.5,103.5,105,0.5,11899
2017/9/30,15841520,1689225640,106,107,105.5,107,2,8277
2017/10/2,24692360,2654340069,108,108,107,107,0,11403
2017/10/3,26015647,2773332766,107.5,108,106,106,-1,9432
2017/10/5,22523112,2388118802,106.5,107,105,106,0,8516
2017/10/6,22385044,2380750855,106.5,107,106,106.5,0.5,7936
2017/10/11,44155331,4757774867,107.5,109,107,107,0.5,15642
2017/10/12,41863762,4532907796,108.5,109,107.5,108,1,14407
2017/10/13,26951419,2897914752,108,108,107,108,0,9339
2017/10/16,34884250,3802487637,109,110,108,109.5,1.5,13994
2017/10/17,40472838,4469022700,111,111,109.5,110.5,1,15169
2017/10/18,39251154,4357759206,111.5,112,110,111.5,1,14180
2017/10/19,44806521,5053980153,112,113.5,111.5,113,1.5,17708
2017/10/20,28950664,3242768048,112,113,111,112,-1,10512
2017/10/23,31138428,3449871080,112.5,113,109,109.5,-2.5,12510
2017/10/24,28243310,3101492306,110,111.5,109,109.5,0,9519
2017/10/25,29879142,3307846328,111,111.5,110,111,1.5,10170
2017/10/26,19615789,2171214762,110,111.5,110,110.5,-0.5,7342
2017/10/27,27118933,2996616850,111.5,112,110,110,-0.5,8289
2017/10/30,42080216,4736954050,113,114,111.5,111.5,1.5,14368
2017/10/31,33161101,3727025812,112.5,113,111.5,112,0.5,11383
2017/11/1,21096685,2366251670,112.5,113,111.5,112,0,7139
2017/11/2,23729700,2667065400,111.5,113,111.5,112.5,0.5,10820
2017/11/3,34130866,3863385608,113,114.5,112.5,113,0.5,11927
2017/11/6,22917172,2603026036,114.5,114.5,113,113,0,9698
2017/11/7,30062182,3389568949,114,114,112,112,-1,8727
2017/11/8,25853328,2889011259,112.5,113,111,111,-1,10148
